group,temperature,lambda_cl,best_epoch,val_rmse,val_mae,val_ndcg10,test_rmse,test_mae,test_ndcg10,final_gamma,final_beta_user,final_beta_item
temperature_sensitivity,0.1,0.1,25,1.0716527079972888,0.64119553565979,0.02980641674306117,1.0573550927190918,0.6387757658958435,0.028662621053515705,0.20764753222465515,0.19996017217636108,0.19139648973941803
temperature_sensitivity,0.2,0.1,21,1.0746433043314858,0.6358775496482849,0.03254178976590982,1.0603964121045195,0.6322802305221558,0.028178994034743648,0.18951116502285004,0.17670440673828125,0.1294221431016922
temperature_sensitivity,0.5,0.1,21,1.078400562839899,0.6333668231964111,0.031384947862412985,1.0644707074594324,0.6294474601745605,0.028536615890793027,0.1877819001674652,0.17250792682170868,0.09298436343669891
temperature_sensitivity,1.0,0.1,20,1.0775763732856092,0.6379009485244751,0.030635547317326234,1.0636897998634551,0.6313378810882568,0.027583652912611424,0.18487825989723206,0.1740710586309433,0.08747801184654236
lambda_sensitivity,0.2,0.01,20,1.0781306943881264,0.6375572681427002,0.03160007795096154,1.065245111493181,0.6321473121643066,0.027715742717252002,0.18838992714881897,0.17473627626895905,0.08678533136844635
lambda_sensitivity,0.2,0.05,21,1.077687326685345,0.6318780183792114,0.03138125794982147,1.0646891760917887,0.6284114122390747,0.02863311762219522,0.18942545354366302,0.17036303877830505,0.0916605219244957
lambda_sensitivity,0.2,0.1,21,1.0758997855333656,0.6374366879463196,0.03271150491982569,1.0614518437110745,0.6334466934204102,0.028251014171576595,0.18957257270812988,0.17683102190494537,0.12951071560382843
lambda_sensitivity,0.2,0.2,21,1.069528167029118,0.6443876624107361,0.03286926832510622,1.0547673513066211,0.6425284147262573,0.030565585348568094,0.20867566764354706,0.20186379551887512,0.21125145256519318
lambda_sensitivity,0.2,0.5,16,1.056560463958376,0.6369720101356506,0.030039670595260054,1.044217851139808,0.6345527768135071,0.030054467583277428,0.1992076337337494,0.24866469204425812,0.28780102729797363
