overlap,overlap_ratio,retained_shared_users,total_shared_users,use_llm_init,use_semantic_gate,use_infonce,use_residual_fusion,lambda_cl,temperature,best_epoch,val_rmse,val_mae,val_ndcg10,test_rmse,test_mae,test_ndcg10,final_gamma,final_beta_user,final_beta_item
100%,1.0,4513,4513,True,True,True,True,0.1,0.2,14,1.053732489081763,0.6257597804069519,0.02902186575913419,1.0431172125944501,0.6238633394241333,0.02664706889862198,0.1030377671122551,0.04769453778862953,0.09236671775579453
50%,0.5,2256,4513,True,True,True,True,0.1,0.2,13,1.0633551578215292,0.6306792497634888,0.02876648459646814,1.0527536252443341,0.6279605031013489,0.026343246775195044,0.08280441164970398,0.04794272035360336,0.09420765936374664
25%,0.25,1128,4513,True,True,True,True,0.1,0.2,14,1.0665013197556712,0.6382803916931152,0.029199312949832468,1.0536182776465322,0.6292811632156372,0.02756240004095229,0.06612570583820343,0.054648540914058685,0.09134175628423691
10%,0.1,451,4513,True,True,True,True,0.1,0.2,12,1.069786165118658,0.6314932107925415,0.03009218422826927,1.0575004647075814,0.623519241809845,0.026094371388056592,0.07464625686407089,0.06995818763971329,0.09157601743936539
