model,dropout_ratio,best_epoch,test_rmse,test_mae,test_ndcg10,seed,input_mode,protocol_note
DisCo-adapted,0.0,21,1.0639463565755607,0.6663917303085327,0.026638797327155794,42,prepared_split,protocol-compatible adapted DisCo-style baseline; prepared iterative 5-core split; same validation/test sampled NDCG@10 evaluator; not PTUPCDR; edge dropout applied only to train_src/train_tgt.
DisCo-adapted,0.1,25,1.0715050284035839,0.6679480075836182,0.0283439753074553,42,prepared_split,protocol-compatible adapted DisCo-style baseline; prepared iterative 5-core split; same validation/test sampled NDCG@10 evaluator; not PTUPCDR; edge dropout applied only to train_src/train_tgt.
DisCo-adapted,0.2,29,1.0945639170442163,0.6814708113670349,0.027113642134122394,42,prepared_split,protocol-compatible adapted DisCo-style baseline; prepared iterative 5-core split; same validation/test sampled NDCG@10 evaluator; not PTUPCDR; edge dropout applied only to train_src/train_tgt.
DisCo-adapted,0.3,29,1.1226238482318267,0.6892587542533875,0.0264930507590265,42,prepared_split,protocol-compatible adapted DisCo-style baseline; prepared iterative 5-core split; same validation/test sampled NDCG@10 evaluator; not PTUPCDR; edge dropout applied only to train_src/train_tgt.
